Touristenstellplätze,weiter Unterküfte,kleiner Platz (<80 m2),mittlerer Platz  (~100 m2),grosser Platz (>110 m2),Stellplatz am Wasser,Behindertengerechter Zugang,Haustierfreundlichkeit,Waschmaschine und Trockner,Aufenthaltsraum,Gemeinschaftsküche,Grillplatz,Gastronomie,Shop,Hallenbad,Freibad,Bademöglichkeit,Babypool,Sportplatz,Tennis,Wifi,Spielplatz,Unterhaltungsprogramm,Bootsvermietung,Fahrradvermietung,Öffnungszeit[%],Preis,Informationsstelle,Sternebewertung,Mitgliedschaften,Region Berner-Mitelland,Region Berner-Oberland,Region Freiburg-Neuenburg-Jura,Region Graubuenden,Region Nordwestschweiz,Region Ostschweiz,Region Tessin,Region Waadt-Genfersee,Region Wallis,Region Zentralschweiz,Region Zuerich,Hauptsaison,Nebensaison,Wandern,Strandzugang,Aktivitäten,Bahnhof,Busstation
40.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,30.0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,11,1,1
127.0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.58,40.0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9,1,1
127.0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.58,50.0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9,1,1
127.0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.58,55.0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9,1,1
127.0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.58,60.0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,9,1,1
127.0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.58,47.0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,9,1,1
127.0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.58,62.0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,9,1,1
127.0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.58,64.0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,9,1,1
127.0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0.58,69.0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,9,1,1
100.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0.58,33.5,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,11,1,1
100.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0.58,43.5,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,11,1,1
34.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1.0,33.5,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,11,1,1
34.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1.0,41.5,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,11,1,1
34.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1.0,31.5,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,11,1,1
34.0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1.0,35.5,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,11,1,1
65.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,26.8,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,6,1,0
65.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,28.8,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,6,1,0
65.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,30.2,1,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,6,1,0
65.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.0,32.2,1,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,6,1,0
75.0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1.0,37.7,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,1
75.0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1.0,40.7,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,1
75.0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1.0,45.7,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,5,1,1
75.0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1.0,49.7,1,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,5,1,1
75.0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1.0,52.7,1,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,5,1,1
75.0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1.0,57.7,1,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,5,1,1
15.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,27.2,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1
15.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,27.7,1,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,1
60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,27.0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,11,1,1
60.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,35.0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,11,1,1
60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,30.5,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,11,1,1
60.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,40.0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,11,1,1
46.0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0.42,31.2,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,7,1,1
33.0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1.0,25.0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0
