URL;Preisseite;Latitude;Longitude;Stellplatz am Wasser;weiter Unterküfte;kleiner Platz (<80 m2);mittlerer Platz  (~100 m2);grosser Platz (>110 m2);Hauptsaison;Nebensaison;Preis
https://camping.ch/de/campingplatz/berner-oberland/interlaken-thunersee/manor-farm?l=true;https://www.manorfarm.ch/application/files/6916/9806/0317/preise_prix_rates_2024.pdf;46.68049194;7.815708889;1;1;0;0;1;0;1;56.8
https://camping.ch/de/campingplatz/berner-oberland/interlaken-unterseen/camping-lazy-rancho-4?l=true;https://www.lazyrancho.ch/de/uebersicht-campingplatz/preise;46.68626111;7.830466111;0;1;1;0;0;0;1;46.8
https://camping.ch/de/campingplatz/berner-oberland/interlaken-unterseen/camping-lazy-rancho-4?l=true;https://www.lazyrancho.ch/de/uebersicht-campingplatz/preise;46.68626111;7.830466111;0;1;1;0;0;1;0;54.8
https://camping.ch/de/campingplatz/berner-oberland/stechelberg/breithorn?l=true;https://campingbreithorn.ch/preise/;46.56842194;7.908385;0;1;1;0;0;0;1;30
https://camping.ch/de/campingplatz/berner-oberland/stechelberg/breithorn?l=true;https://campingbreithorn.ch/preise/;46.56842194;7.908385;0;1;1;0;0;1;0;30
https://camping.ch/de/campingplatz/berner-oberland/brienz/aaregg?l=true;https://www.aaregg.ch/application/files/3717/0602/0151/preisliste_camping_aaregg_am_brienzersee.pdf;46.74816889;8.049566944;0;1;1;0;0;0;1;40
https://camping.ch/de/campingplatz/berner-oberland/brienz/aaregg?l=true;https://www.aaregg.ch/application/files/3717/0602/0151/preisliste_camping_aaregg_am_brienzersee.pdf;46.74816889;8.049566944;0;1;0;1;0;0;1;50
https://camping.ch/de/campingplatz/berner-oberland/brienz/aaregg?l=true;https://www.aaregg.ch/application/files/3717/0602/0151/preisliste_camping_aaregg_am_brienzersee.pdf;46.74816889;8.049566944;1;1;1;0;0;0;1;55
https://camping.ch/de/campingplatz/berner-oberland/brienz/aaregg?l=true;https://www.aaregg.ch/application/files/3717/0602/0151/preisliste_camping_aaregg_am_brienzersee.pdf;46.74816889;8.049566944;1;1;0;1;0;0;1;60
https://camping.ch/de/campingplatz/berner-oberland/brienz/aaregg?l=true;https://www.aaregg.ch/application/files/3717/0602/0151/preisliste_camping_aaregg_am_brienzersee.pdf;46.74816889;8.049566944;0;1;1;0;0;1;0;47
https://camping.ch/de/campingplatz/berner-oberland/brienz/aaregg?l=true;https://www.aaregg.ch/application/files/3717/0602/0151/preisliste_camping_aaregg_am_brienzersee.pdf;46.74816889;8.049566944;0;1;0;1;0;1;0;62
https://camping.ch/de/campingplatz/berner-oberland/brienz/aaregg?l=true;https://www.aaregg.ch/application/files/3717/0602/0151/preisliste_camping_aaregg_am_brienzersee.pdf;46.74816889;8.049566944;1;1;1;0;0;1;0;64
https://camping.ch/de/campingplatz/berner-oberland/brienz/aaregg?l=true;https://www.aaregg.ch/application/files/3717/0602/0151/preisliste_camping_aaregg_am_brienzersee.pdf;46.74816889;8.049566944;1;1;0;1;0;1;0;69
https://camping.ch/de/campingplatz/berner-oberland/meiringen/balmweid?l=true;https://camping-meiringen.ch/preiseliste-2016;46.72549194;8.171863056;0;1;1;0;0;1;1;33.5
https://camping.ch/de/campingplatz/berner-oberland/meiringen/balmweid?l=true;https://camping-meiringen.ch/preiseliste-2016;46.72549194;8.171863056;0;1;0;1;0;1;1;43.5
https://camping.ch/de/campingplatz/berner-oberland/meiringen/alpencamping?l=true;https://alpencamping.ch/anlage/preise1;46.73431389;8.171285;0;1;1;0;0;1;0;33.5
https://camping.ch/de/campingplatz/berner-oberland/meiringen/alpencamping?l=true;https://alpencamping.ch/anlage/preise1;46.73431389;8.171285;0;1;0;1;0;1;0;41.5
https://camping.ch/de/campingplatz/berner-oberland/meiringen/alpencamping?l=true;https://alpencamping.ch/anlage/preise1;46.73431389;8.171285;0;1;1;0;0;0;1;31.5
https://camping.ch/de/campingplatz/berner-oberland/meiringen/alpencamping?l=true;https://alpencamping.ch/anlage/preise1;46.73431389;8.171285;0;1;0;1;0;0;1;35.5
https://camping.ch/de/campingplatz/berner-oberland/frutigen/camping-grassi?l=true;https://www.camping-grassi.ch/de/preise.html;46.58132306;7.641016944;0;0;0;1;0;0;1;26.8
