Name,Ortschaft,Latitude,Longitude,Touristenstellplätze,weiter Unterküfte,kleiner Platz (<80 m2),mittlerer Platz  (~100 m2),grosser Platz (>110 m2),Stellplatz am Wasser,Behindertengerechter Zugang,Haustierfreundlichkeit,Waschmaschine und Trockner,Aufenthaltsraum,Gemeinschaftsküche,Grillplatz,Gastronomie,Shop,Hallenbad,Freibad,Bademöglichkeit,Babypool,Sportplatz,Golf,Tennis,Disco,Wifi,Spielplatz,Unterhaltungsprogramm,Bootsvermietung,Fahrradvermietung,Öffnungszeit[%],Preis,Informationsstelle,Sternebewertung,Mitgliedschaften,Region,Region Berner-Mitelland,Region Berner-Oberland,Region Freiburg-Neuenburg-Jura,Region Graubuenden,Region Nordwestschweiz,Region Ostschweiz,Region Tessin,Region Waadt-Genfersee,Region Wallis,Region Zentralschweiz,Region Zuerich,Hauptsaison,Nebensaison,Wandern,Strandzugang,Aktivitäten,Bahnhof,Busstation
Seefeld Sarnen,6060 Sarnen (OW),46.88314806,8.242223056,132.0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1.0,59.0,1,5,1,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,1,1
Camping International Giswil Sarnersee,6074 Giswil (OW),46.85377111,8.18807,100.0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0.56,38.0,1,4,2,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5,1,1
Camping International Giswil Sarnersee,6074 Giswil (OW),46.85377111,8.18807,100.0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0.56,34.0,1,4,2,Zentralschweiz,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,5,1,1
Manor Farm,3800 Interlaken-Thunersee (BE),46.68049194,7.815708889,127.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,35.3,0,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,1
Manor Farm,3800 Interlaken-Thunersee (BE),46.68049194,7.815708889,127.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,38.3,0,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,1
Manor Farm,3800 Interlaken-Thunersee (BE),46.68049194,7.815708889,127.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,39.3,0,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,1
Manor Farm,3800 Interlaken-Thunersee (BE),46.68049194,7.815708889,127.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,57.3,0,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,1
Manor Farm,3800 Interlaken-Thunersee (BE),46.68049194,7.815708889,127.0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,69.3,0,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11,1,1
Manor Farm,3800 Interlaken-Thunersee (BE),46.68049194,7.815708889,127.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,29.6,0,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,1
Manor Farm,3800 Interlaken-Thunersee (BE),46.68049194,7.815708889,127.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,32.0,0,5,1,Berner-Oberland,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,1
